id,name,email,rfid_uid,phone_number,university_id,department_id,academic_year,current_semester,academic_status,id_card_image_url,approval_status,emergency_contact_phone,bio,personal_email,is_blacklisted,blacklist_reason,rejection_reason,rejected_at,rejected_by_id,approved_at,approved_by_id
12,Heba Mahmoud,std.heba12@student.edu.eg,RFID-000012,+201115354599,UNI-2022-0012,7,2,1,ACTIVE,,APPROVED,+201243491314,,,False,,,,,2025-09-22T00:00:00,1.0
13,Heba Abdallah,std.heba13@student.edu.eg,RFID-000013,+201031810617,UNI-2021-0013,10,2,2,ACTIVE,,APPROVED,+201034073380,,,False,,,,,2025-09-24T00:00:00,2.0
14,Hana Khalil,std.hana14@student.edu.eg,RFID-000014,+201061343880,UNI-2020-0014,5,2,2,ACTIVE,,APPROVED,+201036786211,,,False,,,,,2025-09-27T00:00:00,2.0
15,Nour Khalil,std.nour15@student.edu.eg,RFID-000015,+201154058573,UNI-2022-0015,4,1,1,ACTIVE,,APPROVED,+201157130035,,,False,,,,,2025-09-21T00:00:00,2.0
16,Amira Farouk,std.amira16@student.edu.eg,RFID-000016,+201133966966,UNI-2024-0016,1,1,2,ACTIVE,,APPROVED,+201024549543,,,False,,,,,2025-09-20T00:00:00,2.0
17,Sherif Abdallah,std.sherif17@student.edu.eg,RFID-000017,+201235511941,UNI-2022-0017,10,1,1,ACTIVE,,PENDING,+201268526649,,,False,,,,,,
18,Layla Gamal,std.layla18@student.edu.eg,RFID-000018,+201099152472,UNI-2022-0018,11,2,2,GRADUATED,,APPROVED,+201226726926,,,False,,,,,2025-09-24T00:00:00,2.0
19,Nour Abdallah,std.nour19@student.edu.eg,RFID-000019,+201227084279,UNI-2021-0019,6,4,2,ACTIVE,,APPROVED,+201260888017,,,False,,,,,2025-09-22T00:00:00,1.0
20,Sahar Saleh,std.sahar20@student.edu.eg,RFID-000020,+201067698610,UNI-2024-0020,7,1,2,ACTIVE,,APPROVED,+201169295515,,,False,,,,,2025-09-15T00:00:00,1.0
21,Aya Abdel-Rahman,std.aya21@student.edu.eg,RFID-000021,+201294951883,UNI-2024-0021,11,1,2,ACTIVE,,APPROVED,+201041523529,,,False,,,,,2025-09-22T00:00:00,2.0
22,Hossam Mahmoud,std.hossam22@student.edu.eg,RFID-000022,+201192043803,UNI-2020-0022,1,1,2,ACTIVE,,PENDING,+201194525678,,,False,,,,,,
23,Hossam Osman,std.hossam23@student.edu.eg,RFID-000023,+201210744212,UNI-2020-0023,8,4,2,ACTIVE,,APPROVED,+201033607110,,,False,,,,,2025-09-26T00:00:00,2.0
24,Heba Khalil,std.heba24@student.edu.eg,RFID-000024,+201199600766,UNI-2024-0024,2,4,2,ACTIVE,,APPROVED,+201192228802,,,False,,,,,2025-09-27T00:00:00,2.0
25,Heba Shaker,std.heba25@student.edu.eg,RFID-000025,+201095585469,UNI-2022-0025,3,4,2,ACTIVE,,APPROVED,+201242111036,,,False,,,,,2025-09-09T00:00:00,2.0
26,Bassem Khalil,std.bassem26@student.edu.eg,RFID-000026,+201220814950,UNI-2021-0026,5,3,1,GRADUATED,,APPROVED,+201061410126,,,False,,,,,2025-09-23T00:00:00,1.0
27,Karim Hassan,std.karim27@student.edu.eg,RFID-000027,+201165804273,UNI-2020-0027,7,4,1,GRADUATED,,PENDING,+201162274692,,,False,,,,,,
28,Nesma El-Sayed,std.nesma28@student.edu.eg,RFID-000028,+201150079111,UNI-2023-0028,10,4,2,ACTIVE,,PENDING,+201283300637,,,False,,,,,,
29,Eman Khalil,std.eman29@student.edu.eg,RFID-000029,+201113895645,UNI-2023-0029,8,2,2,ACTIVE,,APPROVED,+201264266464,,,False,,,,,2025-09-24T00:00:00,1.0
30,Mahmoud Ismail,std.mahmoud30@student.edu.eg,RFID-000030,+201285751409,UNI-2025-0030,9,1,1,ACTIVE,,APPROVED,+201096268397,,,False,,,,,2025-09-14T00:00:00,1.0
31,Tarek Ibrahim,std.tarek31@student.edu.eg,RFID-000031,+201153868501,UNI-2022-0031,5,4,2,ACTIVE,,APPROVED,+201166581473,,,False,,,,,2025-09-09T00:00:00,1.0
32,Mohamed Gamal,std.mohamed32@student.edu.eg,RFID-000032,+201097477029,UNI-2020-0032,1,3,1,PROBATION,,APPROVED,+201036757737,,,False,,,,,2025-09-27T00:00:00,1.0
33,Mostafa Khalil,std.mostafa33@student.edu.eg,RFID-000033,+201239254705,UNI-2023-0033,3,4,2,ACTIVE,,APPROVED,+201132520277,,,False,,,,,2025-09-20T00:00:00,1.0
34,Amr Saleh,std.amr34@student.edu.eg,RFID-000034,+201187282128,UNI-2025-0034,2,5,2,ACTIVE,,APPROVED,+201136619372,,,True,Academic misconduct,,,,2025-09-03T00:00:00,1.0
35,Nour Ismail,std.nour35@student.edu.eg,RFID-000035,+201181503856,UNI-2023-0035,2,5,2,ACTIVE,,REJECTED,+201077908907,,,False,,Incomplete documents,2025-09-21T00:00:00,1.0,,
36,Ahmed Abdallah,std.ahmed36@student.edu.eg,RFID-000036,+201195306788,UNI-2023-0036,8,1,1,PROBATION,,APPROVED,+201133640702,,,False,,,,,2025-09-24T00:00:00,2.0
37,Amira Hamdy,std.amira37@student.edu.eg,RFID-000037,+201246023439,UNI-2022-0037,8,4,1,ACTIVE,,APPROVED,+201047437115,,,False,,,,,2025-09-29T00:00:00,2.0
38,Mariam Morsi,std.mariam38@student.edu.eg,RFID-000038,+201153622663,UNI-2021-0038,10,4,2,ACTIVE,,APPROVED,+201057623800,,,False,,,,,2025-09-26T00:00:00,2.0
39,Ayman Ismail,std.ayman39@student.edu.eg,RFID-000039,+201235643159,UNI-2020-0039,12,3,1,PROBATION,,APPROVED,+201264549859,,,False,,,,,2025-09-16T00:00:00,1.0
40,Aya Hamdy,std.aya40@student.edu.eg,RFID-000040,+201064277800,UNI-2025-0040,8,1,1,ACTIVE,,APPROVED,+201199115205,,,False,,,,,2025-09-19T00:00:00,2.0
41,Heba Tawfik,std.heba41@student.edu.eg,RFID-000041,+201254398056,UNI-2022-0041,6,4,2,REPEATER,,APPROVED,+201151154241,,,False,,,,,2025-09-09T00:00:00,1.0
42,Hossam Farouk,std.hossam42@student.edu.eg,RFID-000042,+201234850391,UNI-2021-0042,2,5,1,ACTIVE,,APPROVED,+201274988034,,,False,,,,,2025-09-09T00:00:00,2.0
43,Hossam Saleh,std.hossam43@student.edu.eg,RFID-000043,+201081690398,UNI-2021-0043,4,3,2,ACTIVE,,APPROVED,+201017318358,,,False,,,,,2025-09-18T00:00:00,2.0
44,Mahmoud Hamdy,std.mahmoud44@student.edu.eg,RFID-000044,+201174251933,UNI-2023-0044,2,1,2,ACTIVE,,APPROVED,+201016895666,,,False,,,,,2025-09-09T00:00:00,2.0
45,Hassan Osman,std.hassan45@student.edu.eg,RFID-000045,+201217195288,UNI-2021-0045,8,1,1,REPEATER,,APPROVED,+201250780112,,,False,,,,,2025-09-03T00:00:00,1.0
46,Heba Abdallah,std.heba46@student.edu.eg,RFID-000046,+201170467027,UNI-2023-0046,10,2,2,ACTIVE,,APPROVED,+201267556566,,,False,,,,,2025-09-10T00:00:00,1.0
47,Ibrahim Mohamed,std.ibrahim47@student.edu.eg,RFID-000047,+201031079846,UNI-2021-0047,11,2,1,PROBATION,,APPROVED,+201220075036,,,False,,,,,2025-09-06T00:00:00,1.0
48,Yasmin Ismail,std.yasmin48@student.edu.eg,RFID-000048,+201147945817,UNI-2025-0048,8,3,2,PROBATION,,APPROVED,+201041329612,,,False,,,,,2025-09-30T00:00:00,2.0
49,Ghada Morsi,std.ghada49@student.edu.eg,RFID-000049,+201240173413,UNI-2025-0049,11,2,1,ACTIVE,,APPROVED,+201129090631,,,False,,,,,2025-09-03T00:00:00,1.0
50,Nour Ismail,std.nour50@student.edu.eg,RFID-000050,+201150814428,UNI-2025-0050,12,3,2,ACTIVE,,APPROVED,+201177172238,,,False,,,,,2025-09-18T00:00:00,2.0
51,Youssef Ismail,std.youssef51@student.edu.eg,RFID-000051,+201243603811,UNI-2020-0051,1,4,1,ACTIVE,,APPROVED,+201087201917,,,False,,,,,2025-09-19T00:00:00,1.0
52,Ayman Morsi,std.ayman52@student.edu.eg,RFID-000052,+201269355025,UNI-2022-0052,1,2,1,ACTIVE,,APPROVED,+201268503492,,,False,,,,,2025-09-21T00:00:00,2.0
53,Aya Nasser,std.aya53@student.edu.eg,RFID-000053,+201031585546,UNI-2022-0053,7,3,2,DISMISSED,,APPROVED,+201276500726,,,False,,,,,2025-09-10T00:00:00,2.0
54,Heba Ibrahim,std.heba54@student.edu.eg,RFID-000054,+201125558733,UNI-2023-0054,8,1,1,ACTIVE,,APPROVED,+201282825679,,,False,,,,,2025-09-15T00:00:00,2.0
55,Hossam Tawfik,std.hossam55@student.edu.eg,RFID-000055,+201269329732,UNI-2020-0055,6,5,1,ACTIVE,,APPROVED,+201183715012,,,False,,,,,2025-09-05T00:00:00,2.0
56,Salma Ali,std.salma56@student.edu.eg,RFID-000056,+201231257157,UNI-2022-0056,1,5,1,ACTIVE,,APPROVED,+201264759583,,,False,,,,,2025-09-03T00:00:00,1.0
57,Mariam Ali,std.mariam57@student.edu.eg,RFID-000057,+201249172995,UNI-2024-0057,11,2,2,DISMISSED,,APPROVED,+201174759996,,,False,,,,,2025-09-16T00:00:00,1.0
58,Heba Mahmoud,std.heba58@student.edu.eg,RFID-000058,+201228321839,UNI-2020-0058,7,2,2,ACTIVE,,APPROVED,+201155617282,,,False,,,,,2025-09-30T00:00:00,2.0
59,Ahmed Saleh,std.ahmed59@student.edu.eg,RFID-000059,+201298575748,UNI-2023-0059,12,3,1,PROBATION,,APPROVED,+201182287061,,,False,,,,,2025-09-16T00:00:00,2.0
60,Heba Gamal,std.heba60@student.edu.eg,RFID-000060,+201042051937,UNI-2024-0060,7,4,2,REPEATER,,APPROVED,+201065133300,,,False,,,,,2025-09-02T00:00:00,2.0
61,Aya Osman,std.aya61@student.edu.eg,RFID-000061,+201026944487,UNI-2024-0061,7,2,2,PROBATION,,PENDING,+201069096899,,,False,,,,,,
62,Layla Shaker,std.layla62@student.edu.eg,RFID-000062,+201230718012,UNI-2020-0062,1,2,2,ACTIVE,,APPROVED,+201155440919,,,False,,,,,2025-09-20T00:00:00,2.0
63,Youssef Farouk,std.youssef63@student.edu.eg,RFID-000063,+201275491202,UNI-2024-0063,11,4,1,ACTIVE,,APPROVED,+201219183277,,,False,,,,,2025-09-08T00:00:00,2.0
64,Youssef Abdallah,std.youssef64@student.edu.eg,RFID-000064,+201250193656,UNI-2020-0064,2,1,1,PROBATION,,APPROVED,+201117532195,,,False,,,,,2025-09-10T00:00:00,2.0
65,Rania Mahmoud,std.rania65@student.edu.eg,RFID-000065,+201234166826,UNI-2021-0065,4,5,1,ACTIVE,,APPROVED,+201091804602,,,False,,,,,2025-09-28T00:00:00,2.0
66,Seif Hamdy,std.seif66@student.edu.eg,RFID-000066,+201244088261,UNI-2023-0066,10,2,2,ACTIVE,,APPROVED,+201211261301,,,False,,,,,2025-09-29T00:00:00,2.0
67,Amira Abdel-Rahman,std.amira67@student.edu.eg,RFID-000067,+201250151803,UNI-2025-0067,2,4,2,ACTIVE,,APPROVED,+201243567615,,,False,,,,,2025-09-15T00:00:00,2.0
68,Mona Hamdy,std.mona68@student.edu.eg,RFID-000068,+201187149951,UNI-2022-0068,2,2,2,GRADUATED,,APPROVED,+201098346110,,,False,,,,,2025-09-13T00:00:00,2.0
69,Sahar Ibrahim,std.sahar69@student.edu.eg,RFID-000069,+201140885967,UNI-2024-0069,10,4,2,ACTIVE,,APPROVED,+201095445405,,,False,,,,,2025-09-07T00:00:00,2.0
70,Mahmoud Ali,std.mahmoud70@student.edu.eg,RFID-000070,+201114478111,UNI-2024-0070,11,1,2,ACTIVE,,REJECTED,+201227637794,,,False,,Incomplete documents,2025-09-03T00:00:00,1.0,,
71,Sherif Abdallah,std.sherif71@student.edu.eg,RFID-000071,+201259104566,UNI-2024-0071,3,2,2,GRADUATED,,APPROVED,+201044489940,,,False,,,,,2025-09-30T00:00:00,2.0
72,Bassem Farouk,std.bassem72@student.edu.eg,RFID-000072,+201040281491,UNI-2025-0072,2,4,2,ACTIVE,,APPROVED,+201259093496,,,False,,,,,2025-09-03T00:00:00,2.0
73,Ziad Gamal,std.ziad73@student.edu.eg,RFID-000073,+201245186708,UNI-2024-0073,2,4,2,ACTIVE,,APPROVED,+201259858348,,,False,,,,,2025-09-04T00:00:00,1.0
74,Mohamed Ismail,std.mohamed74@student.edu.eg,RFID-000074,+201096926431,UNI-2020-0074,9,3,2,ACTIVE,,APPROVED,+201250559278,,,False,,,,,2025-09-21T00:00:00,2.0
75,Mahmoud Ibrahim,std.mahmoud75@student.edu.eg,RFID-000075,+201023044889,UNI-2021-0075,1,3,1,ACTIVE,,APPROVED,+201170887034,,,False,,,,,2025-09-12T00:00:00,2.0
76,Mostafa Abdallah,std.mostafa76@student.edu.eg,RFID-000076,+201264776386,UNI-2022-0076,11,1,1,DISMISSED,,APPROVED,+201259731689,,,False,,,,,2025-09-07T00:00:00,2.0
77,Seif Nasser,std.seif77@student.edu.eg,RFID-000077,+201258140388,UNI-2020-0077,2,3,2,ACTIVE,,APPROVED,+201135475673,,,False,,,,,2025-10-01T00:00:00,1.0
78,Mariam Hassan,std.mariam78@student.edu.eg,RFID-000078,+201212866549,UNI-2020-0078,11,2,2,GRADUATED,,APPROVED,+201026901217,,,False,,,,,2025-09-26T00:00:00,1.0
79,Heba Mohamed,std.heba79@student.edu.eg,RFID-000079,+201054098516,UNI-2021-0079,10,2,1,ACTIVE,,APPROVED,+201129419691,,,False,,,,,2025-09-05T00:00:00,2.0
80,Tarek Ali,std.tarek80@student.edu.eg,RFID-000080,+201141934639,UNI-2024-0080,11,1,2,ACTIVE,,APPROVED,+201033386929,,,False,,,,,2025-09-09T00:00:00,1.0
81,Hana Tawfik,std.hana81@student.edu.eg,RFID-000081,+201178885632,UNI-2024-0081,2,1,1,ACTIVE,,APPROVED,+201177624084,,,False,,,,,2025-09-08T00:00:00,1.0
82,Layla Saleh,std.layla82@student.edu.eg,RFID-000082,+201163904155,UNI-2023-0082,8,1,1,ACTIVE,,APPROVED,+201169533928,,,False,,,,,2025-09-03T00:00:00,1.0
83,Eman Mahmoud,std.eman83@student.edu.eg,RFID-000083,+201288566318,UNI-2024-0083,2,2,2,ACTIVE,,APPROVED,+201190180577,,,False,,,,,2025-09-17T00:00:00,2.0
84,Noura Ismail,std.noura84@student.edu.eg,RFID-000084,+201097874085,UNI-2025-0084,7,1,1,ACTIVE,,APPROVED,+201170606674,,,False,,,,,2025-09-29T00:00:00,1.0
85,Wael Shaker,std.wael85@student.edu.eg,RFID-000085,+201167279295,UNI-2022-0085,7,4,2,ACTIVE,,APPROVED,+201130486849,,,False,,,,,2025-09-22T00:00:00,2.0
86,Youssef Hassan,std.youssef86@student.edu.eg,RFID-000086,+201260015814,UNI-2021-0086,2,4,1,ACTIVE,,APPROVED,+201285374852,,,False,,,,,2025-09-18T00:00:00,2.0
87,Khaled Abdallah,std.khaled87@student.edu.eg,RFID-000087,+201116904975,UNI-2022-0087,6,6,2,ACTIVE,,APPROVED,+201123905032,,,False,,,,,2025-09-19T00:00:00,1.0
88,Aya Khalil,std.aya88@student.edu.eg,RFID-000088,+201125419645,UNI-2022-0088,2,3,1,ACTIVE,,APPROVED,+201185291541,,,False,,,,,2025-09-25T00:00:00,1.0
89,Ayman El-Sayed,std.ayman89@student.edu.eg,RFID-000089,+201155610493,UNI-2022-0089,3,3,1,ACTIVE,,APPROVED,+201029226889,,,False,,,,,2025-09-19T00:00:00,2.0
90,Mostafa El-Sayed,std.mostafa90@student.edu.eg,RFID-000090,+201170887307,UNI-2022-0090,2,5,1,GRADUATED,,APPROVED,+201151827259,,,False,,,,,2025-09-24T00:00:00,2.0
91,Sahar Ismail,std.sahar91@student.edu.eg,RFID-000091,+201216679008,UNI-2025-0091,2,1,1,ACTIVE,,APPROVED,+201169473616,,,False,,,,,2025-09-22T00:00:00,2.0
92,Eman Shaker,std.eman92@student.edu.eg,RFID-000092,+201225276327,UNI-2022-0092,7,3,2,DISMISSED,,APPROVED,+201048016697,,,False,,,,,2025-09-22T00:00:00,2.0
93,Nour Ibrahim,std.nour93@student.edu.eg,RFID-000093,+201011031743,UNI-2021-0093,4,4,2,ACTIVE,,APPROVED,+201028419343,,,False,,,,,2025-09-25T00:00:00,2.0
94,Sherif Ali,std.sherif94@student.edu.eg,RFID-000094,+201027339011,UNI-2023-0094,1,4,1,PROBATION,,APPROVED,+201284990607,,,False,,,,,2025-09-27T00:00:00,2.0
95,Dina Ibrahim,std.dina95@student.edu.eg,RFID-000095,+201052018286,UNI-2024-0095,7,1,2,ACTIVE,,APPROVED,+201264280720,,,False,,,,,2025-09-23T00:00:00,2.0
96,Khaled Osman,std.khaled96@student.edu.eg,RFID-000096,+201271753160,UNI-2025-0096,1,3,2,ACTIVE,,PENDING,+201068614462,,,False,,,,,,
97,Seif Abdallah,std.seif97@student.edu.eg,RFID-000097,+201151644346,UNI-2025-0097,10,4,2,DISMISSED,,APPROVED,+201054703713,,,False,,,,,2025-09-25T00:00:00,1.0
98,Noura Ali,std.noura98@student.edu.eg,RFID-000098,+201157123808,UNI-2025-0098,9,2,1,ACTIVE,,APPROVED,+201023798190,,,False,,,,,2025-09-05T00:00:00,2.0
99,Tarek Ismail,std.tarek99@student.edu.eg,RFID-000099,+201276319264,UNI-2023-0099,3,1,2,ACTIVE,,PENDING,+201285764804,,,False,,,,,,
100,Ghada Ismail,std.ghada100@student.edu.eg,RFID-000100,+201119165226,UNI-2023-0100,6,6,2,REPEATER,,APPROVED,+201250643870,,,False,,,,,2025-09-26T00:00:00,2.0
101,Ali Nasser,std.ali101@student.edu.eg,RFID-000101,+201115047559,UNI-2020-0101,9,1,2,ACTIVE,,APPROVED,+201120298660,,,False,,,,,2025-09-21T00:00:00,1.0
102,Eman Tawfik,std.eman102@student.edu.eg,RFID-000102,+201215505975,UNI-2023-0102,7,4,1,ACTIVE,,PENDING,+201191202508,,,False,,,,,,
103,Noura Mahmoud,std.noura103@student.edu.eg,RFID-000103,+201121318464,UNI-2024-0103,1,4,1,ACTIVE,,APPROVED,+201043251599,,,False,,,,,2025-09-23T00:00:00,2.0
104,Layla Tawfik,std.layla104@student.edu.eg,RFID-000104,+201161998170,UNI-2023-0104,10,2,2,ACTIVE,,APPROVED,+201290246882,,,False,,,,,2025-09-02T00:00:00,2.0
105,Wael Ali,std.wael105@student.edu.eg,RFID-000105,+201298122539,UNI-2024-0105,9,4,1,ACTIVE,,APPROVED,+201120939011,,,False,,,,,2025-09-19T00:00:00,1.0
106,Nour Osman,std.nour106@student.edu.eg,RFID-000106,+201051551377,UNI-2024-0106,3,5,2,ACTIVE,,APPROVED,+201254087376,,,False,,,,,2025-09-27T00:00:00,1.0
107,Layla Hassan,std.layla107@student.edu.eg,RFID-000107,+201058667035,UNI-2022-0107,11,4,1,ACTIVE,,APPROVED,+201055866538,,,False,,,,,2025-10-01T00:00:00,2.0
108,Eslam Mahmoud,std.eslam108@student.edu.eg,RFID-000108,+201078140959,UNI-2024-0108,3,1,1,ACTIVE,,APPROVED,+201255199748,,,False,,,,,2025-09-29T00:00:00,1.0
109,Mona Mahmoud,std.mona109@student.edu.eg,RFID-000109,+201232218290,UNI-2025-0109,3,2,2,ACTIVE,,APPROVED,+201065144509,,,False,,,,,2025-09-12T00:00:00,1.0
110,Nahla Saleh,std.nahla110@student.edu.eg,RFID-000110,+201051536077,UNI-2023-0110,12,4,1,ACTIVE,,APPROVED,+201186560394,,,False,,,,,2025-09-15T00:00:00,2.0
111,Bassem Osman,std.bassem111@student.edu.eg,RFID-000111,+201091156554,UNI-2021-0111,9,4,2,ACTIVE,,APPROVED,+201096057593,,,False,,,,,2025-09-16T00:00:00,2.0
112,Ibrahim Tawfik,std.ibrahim112@student.edu.eg,RFID-000112,+201046613428,UNI-2023-0112,2,3,1,ACTIVE,,APPROVED,+201122309586,,,False,,,,,2025-10-01T00:00:00,1.0
113,Yasmin Nasser,std.yasmin113@student.edu.eg,RFID-000113,+201260192261,UNI-2021-0113,1,4,2,ACTIVE,,APPROVED,+201060319927,,,False,,,,,2025-09-08T00:00:00,1.0
114,Ibrahim Farouk,std.ibrahim114@student.edu.eg,RFID-000114,+201128628439,UNI-2025-0114,3,2,2,GRADUATED,,APPROVED,+201192590645,,,False,,,,,2025-09-01T00:00:00,1.0
115,Ziad Mohamed,std.ziad115@student.edu.eg,RFID-000115,+201280836292,UNI-2023-0115,3,5,1,REPEATER,,APPROVED,+201141895531,,,False,,,,,2025-09-10T00:00:00,1.0
116,Seif Abdallah,std.seif116@student.edu.eg,RFID-000116,+201190092958,UNI-2024-0116,11,4,1,PROBATION,,APPROVED,+201279172559,,,False,,,,,2025-09-19T00:00:00,1.0
117,Mostafa Saleh,std.mostafa117@student.edu.eg,RFID-000117,+201086593187,UNI-2023-0117,7,1,1,ACTIVE,,APPROVED,+201299686286,,,False,,,,,2025-09-03T00:00:00,2.0
118,Layla Gamal,std.layla118@student.edu.eg,RFID-000118,+201115843091,UNI-2025-0118,9,1,2,ACTIVE,,APPROVED,+201144044361,,,False,,,,,2025-09-24T00:00:00,1.0
119,Hassan Nasser,std.hassan119@student.edu.eg,RFID-000119,+201088101741,UNI-2025-0119,4,6,2,ACTIVE,,APPROVED,+201015950635,,,False,,,,,2025-09-12T00:00:00,2.0
120,Nourhan Abdel-Rahman,std.nourhan120@student.edu.eg,RFID-000120,+201194790150,UNI-2021-0120,11,4,1,ACTIVE,,APPROVED,+201071428713,,,False,,,,,2025-09-02T00:00:00,2.0
121,Omar Mohamed,std.omar121@student.edu.eg,RFID-000121,+201263448727,UNI-2024-0121,1,3,2,GRADUATED,,PENDING,+201114915156,,,False,,,,,,
122,Nourhan Mohamed,std.nourhan122@student.edu.eg,RFID-000122,+201098010774,UNI-2022-0122,5,3,2,DISMISSED,,APPROVED,+201059394697,,,False,,,,,2025-09-14T00:00:00,2.0
123,Yasmin Osman,std.yasmin123@student.edu.eg,RFID-000123,+201159304469,UNI-2024-0123,6,2,2,ACTIVE,,PENDING,+201066975380,,,False,,,,,,
124,Rania Ismail,std.rania124@student.edu.eg,RFID-000124,+201020746667,UNI-2022-0124,3,5,2,ACTIVE,,REJECTED,+201169849800,,,False,,Incomplete documents,2025-09-20T00:00:00,1.0,,
125,Rania Abdel-Rahman,std.rania125@student.edu.eg,RFID-000125,+201057319709,UNI-2024-0125,12,4,2,GRADUATED,,APPROVED,+201195828117,,,False,,,,,2025-09-26T00:00:00,1.0
126,Ghada Osman,std.ghada126@student.edu.eg,RFID-000126,+201231473054,UNI-2020-0126,6,5,1,ACTIVE,,APPROVED,+201268810561,,,False,,,,,2025-09-02T00:00:00,1.0
127,Seif Nasser,std.seif127@student.edu.eg,RFID-000127,+201091214453,UNI-2021-0127,6,4,2,REPEATER,,APPROVED,+201159930790,,,False,,,,,2025-09-15T00:00:00,1.0
128,Mahmoud Tawfik,std.mahmoud128@student.edu.eg,RFID-000128,+201143502308,UNI-2020-0128,6,4,1,ACTIVE,,APPROVED,+201234970946,,,False,,,,,2025-09-16T00:00:00,2.0
129,Khaled Mansour,std.khaled129@student.edu.eg,RFID-000129,+201248329479,UNI-2025-0129,5,6,2,GRADUATED,,APPROVED,+201026460116,,,False,,,,,2025-09-05T00:00:00,1.0
130,Tarek Shaker,std.tarek130@student.edu.eg,RFID-000130,+201218715975,UNI-2024-0130,2,3,2,ACTIVE,,APPROVED,+201131139996,,,False,,,,,2025-09-23T00:00:00,1.0
131,Sara Tawfik,std.sara131@student.edu.eg,RFID-000131,+201041774192,UNI-2023-0131,4,1,1,ACTIVE,,REJECTED,+201184359498,,,False,,Incomplete documents,2025-09-19T00:00:00,1.0,,
132,Mariam Gamal,std.mariam132@student.edu.eg,RFID-000132,+201051512297,UNI-2023-0132,3,5,2,ACTIVE,,APPROVED,+201265135987,,,False,,,,,2025-09-25T00:00:00,2.0
133,Sahar Hassan,std.sahar133@student.edu.eg,RFID-000133,+201172523073,UNI-2025-0133,3,3,2,REPEATER,,APPROVED,+201083994695,,,False,,,,,2025-09-21T00:00:00,1.0
134,Mahmoud Abdallah,std.mahmoud134@student.edu.eg,RFID-000134,+201230537388,UNI-2022-0134,9,1,1,ACTIVE,,APPROVED,+201053306792,,,False,,,,,2025-09-30T00:00:00,1.0
135,Layla Saleh,std.layla135@student.edu.eg,RFID-000135,+201246836194,UNI-2021-0135,2,3,2,ACTIVE,,APPROVED,+201281602209,,,False,,,,,2025-09-03T00:00:00,1.0
136,Nesma Mahmoud,std.nesma136@student.edu.eg,RFID-000136,+201255314533,UNI-2024-0136,3,5,1,PROBATION,,APPROVED,+201020901547,,,False,,,,,2025-09-02T00:00:00,2.0
137,Karim Morsi,std.karim137@student.edu.eg,RFID-000137,+201283226170,UNI-2022-0137,7,1,2,REPEATER,,PENDING,+201142866956,,,False,,,,,,
138,Dina Saleh,std.dina138@student.edu.eg,RFID-000138,+201069002851,UNI-2023-0138,8,1,2,ACTIVE,,APPROVED,+201137383505,,,False,,,,,2025-09-11T00:00:00,1.0
139,Sherif Nasser,std.sherif139@student.edu.eg,RFID-000139,+201285383550,UNI-2020-0139,7,2,2,PROBATION,,APPROVED,+201072608888,,,False,,,,,2025-09-04T00:00:00,2.0
